"Instituição","Instituição Dependente"
"BMW FINANCEIRA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO","BMW FINANCEIRA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO"
"BNY MELLON BANCO S.A.","BNY MELLON BANCO S.A."
"BR PARTNERS BANCO DE INVESTIMENTO S.A.","BR PARTNERS BANCO DE INVESTIMENTO S.A."
"BRB - BANCO DE BRASILIA S.A.","BRB - BANCO DE BRASILIA S.A."
"BRB - BANCO DE BRASILIA S.A.","BRB - CREDITO, FINANCIAMENTO E INVESTIMENTO S/A"
"BRB - CREDITO, FINANCIAMENTO E INVESTIMENTO S/A","BRB - BANCO DE BRASILIA S.A."
"BRB - CREDITO, FINANCIAMENTO E INVESTIMENTO S/A","BRB - CREDITO, FINANCIAMENTO E INVESTIMENTO S/A"
"CAIXA ECONOMICA FEDERAL","CAIXA ECONOMICA FEDERAL"
"CALCRED S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","CALCRED S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"CCB BRASIL S.A. - CRÉDITO, FINANCIAMENTOS E INVESTIMENTOS","CCB BRASIL S.A. - CRÉDITO, FINANCIAMENTOS E INVESTIMENTOS"
"CCB BRASIL S.A. - CRÉDITO, FINANCIAMENTOS E INVESTIMENTOS","CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A"
"CENTROCRED S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTOS","CENTROCRED S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTOS"
"CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A","CCB BRASIL S.A. - CRÉDITO, FINANCIAMENTOS E INVESTIMENTOS"
"CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A","CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A"
"CITIBANK N.A.","BANCO CITIBANK S.A."
"CITIBANK N.A.","CITIBANK N.A."
"COBANSA COMPANHIA HIPOTECARIA","COBANSA COMPANHIA HIPOTECARIA"
"COBUCCIO S/A - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTOS","COBUCCIO S/A - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTOS"
"COMPANHIA HIPOTECÁRIA PIRATINI - CHP","COMPANHIA HIPOTECÁRIA PIRATINI - CHP"
"CREDIARE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","CREDIARE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"CREDITÁ S/A CRÉDITO, FINANCIAMENTO E INVESTIMENTO","CREDITÁ S/A CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"CREDITAQUI FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","BANCO MERCANTIL DE INVESTIMENTOS S/A"
"CREDITAQUI FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","CREDITAQUI FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS","BANCO CREFISA S.A."
"CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS","CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS"
"DAYCOVAL LEASING - BANCO MÚLTIPLO S.A.","BANCO DAYCOVAL S.A."
"DELFIN RIO S/A CREDITO IMOBILIARIO","DELFIN RIO S/A CREDITO IMOBILIARIO"
"DELFIN S.A. - CREDITO IMOBILIARIO","DELFIN S.A. - CREDITO IMOBILIARIO"
"DEUTSCHE BANK S.A. - BANCO ALEMAO","DEUTSCHE BANK S.A. - BANCO ALEMAO"
"DEUTSCHE SPARKASSEN LEASING DO BRASIL BANCO MÚLTIPLO S.A.","DEUTSCHE SPARKASSEN LEASING DO BRASIL BANCO MÚLTIPLO S.A."
"DIRECAO S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO","DIRECAO S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO"
"DM FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","DM FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"DUFRIO FINANCEIRA, CRÉDITO, FINANCIAMENTO E INVESTIMENTOS S.A.","DUFRIO FINANCEIRA, CRÉDITO, FINANCIAMENTO E INVESTIMENTOS S.A."
"ECONOMISA COMPANHIA HIPOTECÁRIA.","ECONOMISA COMPANHIA HIPOTECÁRIA."
"FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO","FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO"
"FAMÍLIA PAULISTA COMPANHIA HIPOTECÁRIA","FAMÍLIA PAULISTA COMPANHIA HIPOTECÁRIA"
"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO","FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO"
"FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS","BANCO ALFA DE INVESTIMENTO S.A."
"FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS","BANCO ALFA S.A."
"FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS","BANCO J. SAFRA S.A."
"FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS","BANCO SAFRA S.A."
"FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS","FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS"
"FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS","SAFRA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A."
"FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","BANCO INVESTCRED UNIBANCO S.A."
"FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","BANCO ITAÚ BBA S.A."
"FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","BANCO ITAÚ CONSIGNADO S.A."
"FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","BANCO ITAÚ VEÍCULOS S.A."
"FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","BANCO ITAUBANK S.A."
"FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","BANCO ITAUCARD S.A."
"FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","HIPERCARD BANCO MÚLTIPLO S.A."
"FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","ITAÚ UNIBANCO HOLDING S.A."
"FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","ITAÚ UNIBANCO S.A."
"FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"GAZINCRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","GAZINCRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"GOLCRED S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","GOLCRED S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.","GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A."
"GRAZZIOTIN FINANCEIRA S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS","GRAZZIOTIN FINANCEIRA S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS"
"HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.","HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A."
"HIPERCARD BANCO MÚLTIPLO S.A.","BANCO INVESTCRED UNIBANCO S.A."
"HIPERCARD BANCO MÚLTIPLO S.A.","BANCO ITAÚ BBA S.A."
"HIPERCARD BANCO MÚLTIPLO S.A.","BANCO ITAÚ CONSIGNADO S.A."
"HIPERCARD BANCO MÚLTIPLO S.A.","BANCO ITAÚ VEÍCULOS S.A."
"HIPERCARD BANCO MÚLTIPLO S.A.","BANCO ITAUBANK S.A."
"HIPERCARD BANCO MÚLTIPLO S.A.","BANCO ITAUCARD S.A."
"HIPERCARD BANCO MÚLTIPLO S.A.","FINANCEIRA ITAÚ CBD S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
"HIPERCARD BANCO MÚLTIPLO S.A.","HIPERCARD BANCO MÚLTIPLO S.A."
